Accession_ID	GO_Count	BP_GO_IDs	BP_GO_Names	MF_GO_IDs	MF_GO_Names	CC_GO_IDs	CC_GO_Names
Dcitr08g0120015	2	GO:0055085	"transmembrane transport"			GO:0016021	"integral component of membrane"
Dcitr04g0354012	4	GO:0005975	"carbohydrate metabolic process"	GO:0003824;GO:0008061	"catalytic activity";"chitin binding"	GO:0005576	"extracellular region"
Dcitr03g1790012	3			GO:0008270;GO:0070403;GO:0017136	"zinc ion binding";"NAD+ binding";"NAD-dependent histone deacetylase activity"		
Dcitr01g1236011	1			GO:0003824	"catalytic activity"		
Dcitr12g0822011	2	GO:0033014	"tetrapyrrole biosynthetic process"	GO:0004852	"uroporphyrinogen-III synthase activity"		
Dcitr13g0567011	3	GO:0007165	"signal transduction"	GO:0004114;GO:0008081	"3',5'-cyclic-nucleotide phosphodiesterase activity";"phosphoric diester hydrolase activity"		
Dcitr05g0549012	3	GO:0000278	"mitotic cell cycle"			GO:0005634;GO:0000775	"nucleus";"chromosome, centromeric region"
Dcitr04g1059011	1			GO:0003714	"transcription corepressor activity"		
Dcitr01g0743011	1			GO:0004386	"helicase activity"		
Dcitr09g0530011	1			GO:0042302	"structural constituent of cuticle"		
Dcitr08g0699011	1			GO:0042302	"structural constituent of cuticle"		
Dcitr03g0627011	2			GO:0048037;GO:0003824	"cofactor binding";"catalytic activity"		
Dcitr06g1112011	3	GO:0006457	"protein folding"	GO:0005524;GO:0051082	"ATP binding";"unfolded protein binding"		
Dcitr00g0359011	1			GO:0003676	"nucleic acid binding"		
Dcitr04g1702011	4	GO:0006334	"nucleosome assembly"	GO:0003677	"DNA binding"	GO:0042025;GO:0000786	"host cell nucleus";"nucleosome"
Dcitr09g0714014	2	GO:0005975	"carbohydrate metabolic process"	GO:0003824	"catalytic activity"		
Dcitr10g0165012	4	GO:0007186	"G protein-coupled receptor signaling pathway"	GO:0004983;GO:0004930	"neuropeptide Y receptor activity";"G protein-coupled receptor activity"	GO:0016021	"integral component of membrane"
Dcitr10g1037012	2	GO:0016226	"iron-sulfur cluster assembly"			GO:0097361	"CIA complex"
Dcitr00g1252011	2	GO:0006508	"proteolysis"	GO:0004252	"serine-type endopeptidase activity"		
Dcitr01g1982011	6	GO:0006468;GO:0000278;GO:0035329	"protein phosphorylation";"mitotic cell cycle";"hippo signaling"	GO:0005524;GO:0004672;GO:0004674	"ATP binding";"protein kinase activity";"protein serine/threonine kinase activity"		
Dcitr01g1524012	2	GO:0006508	"proteolysis"	GO:0004198	"calcium-dependent cysteine-type endopeptidase activity"		
Dcitr02g0380012	3	GO:0016579;GO:0006511	"protein deubiquitination";"ubiquitin-dependent protein catabolic process"	GO:0036459	"thiol-dependent ubiquitinyl hydrolase activity"		
Dcitr11g0348011	2	GO:0006368	"transcription elongation from RNA polymerase II promoter"			GO:0008023	"transcription elongation factor complex"
Dcitr02g1553011	2			GO:0003676;GO:0008270	"nucleic acid binding";"zinc ion binding"		
Dcitr02g1019011	2			GO:0005525;GO:0003924	"GTP binding";"GTPase activity"		
Dcitr04g0766011	2	GO:0019236;GO:0007186	"response to pheromone";"G protein-coupled receptor signaling pathway"				
Dcitr00g0733011	2	GO:0006886	"intracellular protein transport"			GO:0005741	"mitochondrial outer membrane"
Dcitr02g1282011	5	GO:0055085	"transmembrane transport"	GO:0005524;GO:0016887;GO:0042626	"ATP binding";"ATPase activity";"ATPase-coupled transmembrane transporter activity"	GO:0016021	"integral component of membrane"
Dcitr08g0475011	2	GO:0007015	"actin filament organization"	GO:0003785	"actin monomer binding"		
Dcitr08g0292011	2			GO:0008270;GO:0004089	"zinc ion binding";"carbonate dehydratase activity"		
Dcitr01g0453012	1			GO:0008083	"growth factor activity"		
Dcitr03g1484011	3			GO:0008270;GO:0003676	"zinc ion binding";"nucleic acid binding"	GO:0005634	"nucleus"
Dcitr04g1161013	2	GO:0055085	"transmembrane transport"	GO:0022857	"transmembrane transporter activity"		
Dcitr10g0341011	1					GO:0016021	"integral component of membrane"
Dcitr01g0708011	1	GO:0009966	"regulation of signal transduction"				
Dcitr03g0827011	4	GO:0006357	"regulation of transcription by RNA polymerase II"	GO:0030274;GO:0003712	"LIM domain binding";"transcription coregulator activity"	GO:0005634	"nucleus"
Dcitr08g0761012	3	GO:0006355	"regulation of transcription, DNA-templated"	GO:0043565;GO:0003700	"sequence-specific DNA binding";"DNA-binding transcription factor activity"		
Dcitr01g0248011	3	GO:0006508	"proteolysis"	GO:0008237;GO:0004222	"metallopeptidase activity";"metalloendopeptidase activity"		
Dcitr00g0679011	2	GO:0055085	"transmembrane transport"	GO:0022857	"transmembrane transporter activity"		
Dcitr08g0728011	8	GO:0055085;GO:0006811;GO:0070588	"transmembrane transport";"ion transport";"calcium ion transmembrane transport"	GO:0005509;GO:0005245;GO:0005216	"calcium ion binding";"voltage-gated calcium channel activity";"ion channel activity"	GO:0005891;GO:0016020	"voltage-gated calcium channel complex";"membrane"
Dcitr09g0383012	2			GO:0004252	"serine-type endopeptidase activity"	GO:0016021	"integral component of membrane"
Dcitr02g1999011	3			GO:0005524;GO:0016887	"ATP binding";"ATPase activity"	GO:0016020	"membrane"
Dcitr01g0317011	1			GO:0005549	"odorant binding"		
Dcitr10g0599011	3	GO:0006412	"translation"	GO:0003735	"structural constituent of ribosome"	GO:0005840	"ribosome"
Dcitr03g0134011	3	GO:0017183	"peptidyl-diphthamide biosynthetic process from peptidyl-histidine"	GO:0008168;GO:0004164	"methyltransferase activity";"diphthine synthase activity"		
Dcitr06g0847011	1	GO:0042254	"ribosome biogenesis"				
Dcitr02g0759011	3	GO:0055085	"transmembrane transport"	GO:0022857	"transmembrane transporter activity"	GO:0016021	"integral component of membrane"
Dcitr00g0301011	3	GO:0006412	"translation"	GO:0003735	"structural constituent of ribosome"	GO:0005840	"ribosome"
Dcitr12g0320011	1			GO:0005509	"calcium ion binding"		
Dcitr00g0266011	3	GO:0016579;GO:0006511	"protein deubiquitination";"ubiquitin-dependent protein catabolic process"	GO:0036459	"thiol-dependent ubiquitinyl hydrolase activity"		
Dcitr00g0138012	4	GO:0006412	"translation"	GO:0003735	"structural constituent of ribosome"	GO:0015935;GO:0005840	"small ribosomal subunit";"ribosome"
Dcitr03g2086011	2	GO:0050909	"sensory perception of taste"			GO:0016021	"integral component of membrane"
Dcitr03g1395011	1					GO:0005763	"mitochondrial small ribosomal subunit"
Dcitr11g0786011	10	GO:0055114;GO:0006099;GO:0005975;GO:0019752;GO:0006108	"oxidation-reduction process";"tricarboxylic acid cycle";"carbohydrate metabolic process";"carboxylic acid metabolic process";"malate metabolic process"	GO:0016616;GO:0016491;GO:0003824;GO:0030060;GO:0016615	"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor";"oxidoreductase activity";"catalytic activity";"L-malate dehydrogenase activity";"malate dehydrogenase activity"		
Dcitr03g1603011	2	GO:0007018	"microtubule-based movement"	GO:0003777	"microtubule motor activity"		
Dcitr13g0278011	3	GO:0008643	"carbohydrate transport"	GO:0015293	"symporter activity"	GO:0016021	"integral component of membrane"
Dcitr12g0741012	3	GO:0001682	"tRNA 5'-leader removal"			GO:0005655;GO:0000172	"nucleolar ribonuclease P complex";"ribonuclease MRP complex"
Dcitr02g1514011	2	GO:0007017	"microtubule-based process"			GO:0005869	"dynactin complex"
Dcitr01g0422012	1			GO:0046872	"metal ion binding"		
Dcitr04g1215011	1			GO:0003676	"nucleic acid binding"		
Dcitr09g0352011	2			GO:0042578;GO:0003824	"phosphoric ester hydrolase activity";"catalytic activity"		
Dcitr06g0439011	5	GO:0032259;GO:0006479	"methylation";"protein methylation"	GO:0003676;GO:0008276;GO:0008168	"nucleic acid binding";"protein methyltransferase activity";"methyltransferase activity"		
Dcitr07g0414011	2	GO:0007018	"microtubule-based movement"	GO:0003777	"microtubule motor activity"		
Dcitr01g2260011	4	GO:0006468	"protein phosphorylation"	GO:0005524;GO:0004713;GO:0004672	"ATP binding";"protein tyrosine kinase activity";"protein kinase activity"		
Dcitr02g0250011	2	GO:0016310	"phosphorylation"	GO:0016772	"transferase activity, transferring phosphorus-containing groups"		
Dcitr06g0723012	6	GO:0007169;GO:0006468	"transmembrane receptor protein tyrosine kinase signaling pathway";"protein phosphorylation"	GO:0004672;GO:0004713;GO:0004714;GO:0005524	"protein kinase activity";"protein tyrosine kinase activity";"transmembrane receptor protein tyrosine kinase activity";"ATP binding"		
Dcitr12g0373012	2	GO:0006396	"RNA processing"	GO:0008173	"RNA methyltransferase activity"		
Dcitr00g1283011	4	GO:0055114	"oxidation-reduction process"	GO:0016651;GO:0051539	"oxidoreductase activity, acting on NAD(P)H";"4 iron, 4 sulfur cluster binding"	GO:0016020	"membrane"
Dcitr02g1567011	2	GO:0006508	"proteolysis"	GO:0004252	"serine-type endopeptidase activity"		
Dcitr03g1791012	1			GO:0016787	"hydrolase activity"		
Dcitr03g0777011	1			GO:0016491	"oxidoreductase activity"		
Dcitr09g0441011	4	GO:0009226	"nucleotide-sugar biosynthetic process"	GO:0016491;GO:0050662;GO:0003824	"oxidoreductase activity";"coenzyme binding";"catalytic activity"		
Dcitr01g1942012	2	GO:0006541	"glutamine metabolic process"	GO:0004359	"glutaminase activity"		
Dcitr07g0935011	6	GO:0055085;GO:0008272	"transmembrane transport";"sulfate transport"	GO:0008271;GO:0015116	"secondary active sulfate transmembrane transporter activity";"sulfate transmembrane transporter activity"	GO:0016020;GO:0016021	"membrane";"integral component of membrane"
Dcitr10g1025011	3	GO:0006813	"potassium ion transport"	GO:0005242	"inward rectifier potassium channel activity"	GO:0016021	"integral component of membrane"
Dcitr03g0763011	1	GO:0008380	"RNA splicing"				
Dcitr04g1397011	2	GO:0055114	"oxidation-reduction process"	GO:0016491	"oxidoreductase activity"		
Dcitr03g1269011	2	GO:0006415	"translational termination"	GO:0003747	"translation release factor activity"		
Dcitr02g0774011	4	GO:0043123;GO:0002755;GO:0007165	"positive regulation of I-kappaB kinase/NF-kappaB signaling";"MyD88-dependent toll-like receptor signaling pathway";"signal transduction"	GO:0070976	"TIR domain binding"		
Dcitr02g0471011	2	GO:0009058	"biosynthetic process"	GO:0016742	"hydroxymethyl-, formyl- and related transferase activity"		
Dcitr06g0462014	3	GO:0006355	"regulation of transcription, DNA-templated"	GO:0043565;GO:0003677	"sequence-specific DNA binding";"DNA binding"		
Dcitr12g0973011	6	GO:0007186	"G protein-coupled receptor signaling pathway"	GO:0004930;GO:0072544;GO:0072545;GO:0035240	"G protein-coupled receptor activity";"L-DOPA binding";"tyrosine binding";"dopamine binding"	GO:0016020	"membrane"
Dcitr01g2229011	4	GO:0006397	"mRNA processing"	GO:0003723	"RNA binding"	GO:0005737;GO:0005634	"cytoplasm";"nucleus"
Dcitr06g0178011	1			GO:0008080	"N-acetyltransferase activity"		
Dcitr12g0524011	1			GO:0016409	"palmitoyltransferase activity"		
Dcitr05g0495011	3	GO:0097428	"protein maturation by iron-sulfur cluster transfer"	GO:0005198;GO:0051536	"structural molecule activity";"iron-sulfur cluster binding"		
Dcitr03g1874013	3			GO:0046872;GO:0016787;GO:0003676	"metal ion binding";"hydrolase activity";"nucleic acid binding"		
Dcitr03g1571011	2	GO:0006508	"proteolysis"	GO:0004252	"serine-type endopeptidase activity"		
Dcitr03g1653011	2	GO:0006508	"proteolysis"	GO:0004252	"serine-type endopeptidase activity"		
Dcitr03g0613012	4	GO:0055114	"oxidation-reduction process"	GO:0020037;GO:0016705;GO:0005506	"heme binding";"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen";"iron ion binding"		
Dcitr10g0137011	1			GO:0046983	"protein dimerization activity"		
Dcitr00g1495011	3	GO:0006412	"translation"	GO:0003735	"structural constituent of ribosome"	GO:0015934	"large ribosomal subunit"
Dcitr05g0193011	1			GO:0003676	"nucleic acid binding"		
Dcitr01g0351011	3	GO:0006412	"translation"	GO:0003735	"structural constituent of ribosome"	GO:0005840	"ribosome"
Dcitr06g0971011	5	GO:0006631;GO:0055114	"fatty acid metabolic process";"oxidation-reduction process"	GO:0070403;GO:0003857;GO:0016491	"NAD+ binding";"3-hydroxyacyl-CoA dehydrogenase activity";"oxidoreductase activity"		
Dcitr03g2054011	5	GO:0008033;GO:0045041	"tRNA processing";"protein import into mitochondrial intermembrane space"	GO:0004867;GO:0015035;GO:0004540	"serine-type endopeptidase inhibitor activity";"protein disulfide oxidoreductase activity";"ribonuclease activity"		
Dcitr02g0707011	2	GO:0006529	"asparagine biosynthetic process"	GO:0004066	"asparagine synthase (glutamine-hydrolyzing) activity"		
Dcitr07g0485011	3	GO:0006355	"regulation of transcription, DNA-templated"	GO:0043565;GO:0003677	"sequence-specific DNA binding";"DNA binding"		
Dcitr05g1347013	4	GO:0055085;GO:0006857	"transmembrane transport";"oligopeptide transport"	GO:0022857	"transmembrane transporter activity"	GO:0016020	"membrane"
Dcitr05g0453011	7	GO:0051603;GO:0006511;GO:0043161	"proteolysis involved in cellular protein catabolic process";"ubiquitin-dependent protein catabolic process";"proteasome-mediated ubiquitin-dependent protein catabolic process"	GO:0004175;GO:0004298	"endopeptidase activity";"threonine-type endopeptidase activity"	GO:0005839;GO:0019773	"proteasome core complex";"proteasome core complex, alpha-subunit complex"
Dcitr08g0972011	7	GO:0007165;GO:0007186;GO:0007188	"signal transduction";"G protein-coupled receptor signaling pathway";"adenylate cyclase-modulating G protein-coupled receptor signaling pathway"	GO:0003924;GO:0019001;GO:0031683;GO:0005525	"GTPase activity";"guanyl nucleotide binding";"G-protein beta/gamma-subunit complex binding";"GTP binding"		
Dcitr11g0995011	6	GO:0006099;GO:0055114	"tricarboxylic acid cycle";"oxidation-reduction process"	GO:0051287;GO:0016616;GO:0000287;GO:0004449	"NAD binding";"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor";"magnesium ion binding";"isocitrate dehydrogenase (NAD+) activity"		
Dcitr11g0660011	2			GO:0016462	"pyrophosphatase activity"	GO:0005737	"cytoplasm"
Dcitr06g1016011	4	GO:0007608	"sensory perception of smell"	GO:0005549;GO:0004984	"odorant binding";"olfactory receptor activity"	GO:0016020	"membrane"
Dcitr03g1663011	2	GO:0007076	"mitotic chromosome condensation"			GO:0000796	"condensin complex"
Dcitr11g0727011	5	GO:0055085	"transmembrane transport"	GO:0042626;GO:0005524;GO:0016887	"ATPase-coupled transmembrane transporter activity";"ATP binding";"ATPase activity"	GO:0016021	"integral component of membrane"
Dcitr10g0941011	1			GO:0005509	"calcium ion binding"		
Dcitr01g2200011	3			GO:0003677;GO:0046982	"DNA binding";"protein heterodimerization activity"	GO:0000786	"nucleosome"
Dcitr13g0248011	2	GO:0006869	"lipid transport"	GO:0005319	"lipid transporter activity"		
Dcitr01g1465011	3	GO:0055114	"oxidation-reduction process"	GO:0051287;GO:0016616	"NAD binding";"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"		
Dcitr07g0664011	3	GO:0006508	"proteolysis"	GO:0008233	"peptidase activity"	GO:0005634	"nucleus"
Dcitr03g1168011	1			GO:0003676	"nucleic acid binding"		
Dcitr08g0426011	1			GO:0003824	"catalytic activity"		
Dcitr10g1063011	1			GO:0003676	"nucleic acid binding"		
Dcitr01g0247011	2	GO:0007165	"signal transduction"	GO:0060090	"molecular adaptor activity"		
Dcitr08g0645011	8	GO:0006537;GO:0055114	"glutamate biosynthetic process";"oxidation-reduction process"	GO:0015930;GO:0016491;GO:0016639;GO:0003824;GO:0051536;GO:0016638	"glutamate synthase activity";"oxidoreductase activity";"oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor";"catalytic activity";"iron-sulfur cluster binding";"oxidoreductase activity, acting on the CH-NH2 group of donors"		
Dcitr13g0145011	2			GO:0005524;GO:0016887	"ATP binding";"ATPase activity"		
Dcitr02g1959011	3	GO:0006629;GO:0006367	"lipid metabolic process";"transcription initiation from RNA polymerase II promoter"			GO:0005669	"transcription factor TFIID complex"
Dcitr02g0413011	2			GO:0008061	"chitin binding"	GO:0005576	"extracellular region"
Dcitr12g0339011	1	GO:0042254	"ribosome biogenesis"				
Dcitr02g0606011	2	GO:1902979	"mitotic DNA replication termination"	GO:0005509	"calcium ion binding"		
Dcitr10g0372012	4	GO:0006355	"regulation of transcription, DNA-templated"	GO:0043565;GO:0003676;GO:0003677	"sequence-specific DNA binding";"nucleic acid binding";"DNA binding"		
Dcitr03g1895011	1			GO:0030215	"semaphorin receptor binding"		
Dcitr02g0265011	2			GO:0003924;GO:0005525	"GTPase activity";"GTP binding"		
Dcitr07g1202011	2			GO:0005524;GO:0003676	"ATP binding";"nucleic acid binding"		
Dcitr11g1012011	1			GO:0003676	"nucleic acid binding"		
Dcitr09g0303011	6	GO:0006468;GO:0035556	"protein phosphorylation";"intracellular signal transduction"	GO:0005524;GO:0000287;GO:0004672;GO:0004674	"ATP binding";"magnesium ion binding";"protein kinase activity";"protein serine/threonine kinase activity"		
Dcitr11g0100011	1			GO:0046872	"metal ion binding"		
Dcitr10g0325011	3	GO:0006468	"protein phosphorylation"	GO:0005524;GO:0004672	"ATP binding";"protein kinase activity"		
Dcitr06g0188011	1			GO:0046983	"protein dimerization activity"		
Dcitr09g0908011	3	GO:0007165;GO:0007205	"signal transduction";"protein kinase C-activating G protein-coupled receptor signaling pathway"	GO:0004143	"diacylglycerol kinase activity"		
Dcitr03g1050011	4	GO:0006468	"protein phosphorylation"	GO:0005524;GO:0004713;GO:0004672	"ATP binding";"protein tyrosine kinase activity";"protein kinase activity"		
Dcitr08g1081011	1			GO:0047617	"acyl-CoA hydrolase activity"		
Dcitr12g0947011	4	GO:0008033;GO:0016070	"tRNA processing";"RNA metabolic process"	GO:0004526;GO:0004540	"ribonuclease P activity";"ribonuclease activity"		
Dcitr13g0226011	3	GO:1904247	"positive regulation of polynucleotide adenylyltransferase activity"	GO:0003723;GO:0003676	"RNA binding";"nucleic acid binding"		
Dcitr09g0105012	1			GO:0003824	"catalytic activity"		
Dcitr03g1267012	3			GO:0004386;GO:0003676;GO:0005524	"helicase activity";"nucleic acid binding";"ATP binding"		
Dcitr01g1832011	5	GO:0006418	"tRNA aminoacylation for protein translation"	GO:0000166;GO:0005524;GO:0000049;GO:0004812	"nucleotide binding";"ATP binding";"tRNA binding";"aminoacyl-tRNA ligase activity"		
Dcitr03g2111011	1			GO:0042302	"structural constituent of cuticle"		
Dcitr01g1417011	5	GO:0045905;GO:0045901	"positive regulation of translational termination";"positive regulation of translational elongation"	GO:0003723;GO:0043022;GO:0003746	"RNA binding";"ribosome binding";"translation elongation factor activity"		
Dcitr00g0520011	4	GO:0055114	"oxidation-reduction process"	GO:0016651;GO:0048038;GO:0051287	"oxidoreductase activity, acting on NAD(P)H";"quinone binding";"NAD binding"		
Dcitr07g1131011	4	GO:0006355	"regulation of transcription, DNA-templated"	GO:0003700;GO:0003677	"DNA-binding transcription factor activity";"DNA binding"	GO:0005634	"nucleus"
Dcitr07g0894011	2			GO:0004252	"serine-type endopeptidase activity"	GO:0016021	"integral component of membrane"
Dcitr06g0268011	2	GO:0090305	"nucleic acid phosphodiester bond hydrolysis"	GO:0004521	"endoribonuclease activity"		
Dcitr02g1706011	2	GO:0005975	"carbohydrate metabolic process"	GO:0004553	"hydrolase activity, hydrolyzing O-glycosyl compounds"		
Dcitr01g0980011	2			GO:0005525;GO:0003924	"GTP binding";"GTPase activity"		
Dcitr06g1494011	2			GO:0008270;GO:0003676	"zinc ion binding";"nucleic acid binding"		
Dcitr10g0672011	3	GO:0006886;GO:0016192	"intracellular protein transport";"vesicle-mediated transport"			GO:0030117	"membrane coat"
Dcitr03g0862011	2	GO:0006520	"cellular amino acid metabolic process"	GO:0004067	"asparaginase activity"		
Dcitr06g0181011	1			GO:0080019	"fatty-acyl-CoA reductase (alcohol-forming) activity"		
Dcitr07g1298011	1	GO:0006914	"autophagy"				
Dcitr01g2123011	2			GO:0008270;GO:0046872	"zinc ion binding";"metal ion binding"		
Dcitr03g2085011	2	GO:0006281	"DNA repair"	GO:0003684	"damaged DNA binding"		
Dcitr09g0749011	2	GO:0055114	"oxidation-reduction process"	GO:0016702	"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen"		
Dcitr04g0588011	3	GO:0007165	"signal transduction"	GO:0008081;GO:0004114	"phosphoric diester hydrolase activity";"3',5'-cyclic-nucleotide phosphodiesterase activity"		
Dcitr00g0349011	5	GO:0019551;GO:0006520;GO:0055114	"glutamate catabolic process to 2-oxoglutarate";"cellular amino acid metabolic process";"oxidation-reduction process"	GO:0004352;GO:0016491	"glutamate dehydrogenase (NAD+) activity";"oxidoreductase activity"		
Dcitr02g0595011	5	GO:0006260	"DNA replication"	GO:0000166;GO:0003887;GO:0003677;GO:0003676	"nucleotide binding";"DNA-directed DNA polymerase activity";"DNA binding";"nucleic acid binding"		
Dcitr07g1067011	2			GO:0016829;GO:0003824	"lyase activity";"catalytic activity"		
Dcitr01g1093011	3	GO:0006357	"regulation of transcription by RNA polymerase II"	GO:0003712	"transcription coregulator activity"	GO:0016592	"mediator complex"
Dcitr01g0648011	2	GO:0042254	"ribosome biogenesis"			GO:0005634	"nucleus"
Dcitr02g1377011	1			GO:0003676	"nucleic acid binding"		
Dcitr02g1070011	2	GO:0006464	"cellular protein modification process"	GO:0004719	"protein-L-isoaspartate (D-aspartate) O-methyltransferase activity"		
Dcitr09g0866011	3	GO:0055085	"transmembrane transport"	GO:0022857	"transmembrane transporter activity"	GO:0016021	"integral component of membrane"
Dcitr03g1375011	1			GO:0003676	"nucleic acid binding"		
Dcitr05g1007011	3	GO:0006412	"translation"	GO:0003735	"structural constituent of ribosome"	GO:0005840	"ribosome"
Dcitr07g0597011	1			GO:0080019	"fatty-acyl-CoA reductase (alcohol-forming) activity"		
Dcitr00g1053012	2	GO:0006357	"regulation of transcription by RNA polymerase II"	GO:0003700	"DNA-binding transcription factor activity"		
Dcitr01g1349011	2			GO:0008242;GO:0016787	"omega peptidase activity";"hydrolase activity"		
Dcitr01g0991011	1			GO:0005524	"ATP binding"		
Dcitr08g0811011	2	GO:0006486	"protein glycosylation"			GO:0016020	"membrane"
Dcitr09g0719011	2	GO:0006801	"superoxide metabolic process"	GO:0046872	"metal ion binding"		
Dcitr06g0923012	2	GO:0010387	"COP9 signalosome assembly"			GO:0008180	"COP9 signalosome"
Dcitr03g0842011	2	GO:0046855;GO:0046854	"inositol phosphate dephosphorylation";"phosphatidylinositol phosphorylation"				
Dcitr10g0552012	1			GO:0003676	"nucleic acid binding"		
Dcitr11g0716011	4	GO:0055114	"oxidation-reduction process"	GO:0005506;GO:0016705;GO:0020037	"iron ion binding";"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen";"heme binding"		
Dcitr07g0243011	4	GO:0006821;GO:0055085	"chloride transport";"transmembrane transport"	GO:0005247	"voltage-gated chloride channel activity"	GO:0016020	"membrane"
Dcitr04g0200012	5	GO:0009451;GO:0006396;GO:0001522	"RNA modification";"RNA processing";"pseudouridine synthesis"	GO:0003723;GO:0009982	"RNA binding";"pseudouridine synthase activity"		
Dcitr09g0695012	3	GO:0055085	"transmembrane transport"	GO:0022857	"transmembrane transporter activity"	GO:0016020	"membrane"
Dcitr06g0738011	5	GO:0006412	"translation"	GO:0003723;GO:0003735;GO:0019843	"RNA binding";"structural constituent of ribosome";"rRNA binding"	GO:0015935	"small ribosomal subunit"
Dcitr03g1737011	4	GO:0019752	"carboxylic acid metabolic process"	GO:0030170;GO:0003824;GO:0016831	"pyridoxal phosphate binding";"catalytic activity";"carboxy-lyase activity"		
Dcitr01g2232011	3	GO:0006468	"protein phosphorylation"	GO:0005524;GO:0004672	"ATP binding";"protein kinase activity"		
Dcitr08g0359011	4	GO:0032933	"SREBP signaling pathway"	GO:0032934	"sterol binding"	GO:0000139;GO:0005789	"Golgi membrane";"endoplasmic reticulum membrane"
Dcitr03g0166011	3			GO:0003729;GO:0003676;GO:0003723	"mRNA binding";"nucleic acid binding";"RNA binding"		
Dcitr13g0320011	6	GO:1905775;GO:0006270	"negative regulation of DNA helicase activity";"DNA replication initiation"	GO:0003677;GO:0005524	"DNA binding";"ATP binding"	GO:0042555;GO:0005634	"MCM complex";"nucleus"
Dcitr04g0648012	1			GO:0004622	"lysophospholipase activity"		
Dcitr04g1502014	4	GO:0055085	"transmembrane transport"	GO:0022857	"transmembrane transporter activity"	GO:0016020;GO:0016021	"membrane";"integral component of membrane"
Dcitr02g0814011	2	GO:0007165	"signal transduction"	GO:0035091	"phosphatidylinositol binding"		
Dcitr07g1096012	2	GO:0006508	"proteolysis"	GO:0004252	"serine-type endopeptidase activity"		
Dcitr08g0202011	1			GO:0003676	"nucleic acid binding"		
Dcitr06g0315011	7	GO:0015914	"phospholipid transport"	GO:0140326;GO:0000287;GO:0005524;GO:0000166	"ATPase-coupled intramembrane lipid transporter activity";"magnesium ion binding";"ATP binding";"nucleotide binding"	GO:0005802;GO:0016021	"trans-Golgi network";"integral component of membrane"
Dcitr07g1175011	4	GO:0035556	"intracellular signal transduction"	GO:0005525;GO:0080019;GO:0003924	"GTP binding";"fatty-acyl-CoA reductase (alcohol-forming) activity";"GTPase activity"		
Dcitr03g1881012	5	GO:0055114	"oxidation-reduction process"	GO:0016705;GO:0031418;GO:0005506;GO:0016491	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen";"L-ascorbic acid binding";"iron ion binding";"oxidoreductase activity"		
Dcitr12g0736011	1			GO:0005507	"copper ion binding"		
Dcitr05g1413011	7	GO:0006811;GO:0034220	"ion transport";"ion transmembrane transport"	GO:0005216;GO:0004890;GO:0004888	"ion channel activity";"GABA-A receptor activity";"transmembrane signaling receptor activity"	GO:0016020;GO:0016021	"membrane";"integral component of membrane"
Dcitr11g0222011	8	GO:0007608;GO:0006396	"sensory perception of smell";"RNA processing"	GO:0019887;GO:0003723;GO:0004984;GO:0005549	"protein kinase regulator activity";"RNA binding";"olfactory receptor activity";"odorant binding"	GO:0005956;GO:0016020	"protein kinase CK2 complex";"membrane"
Dcitr01g0949011	3	GO:0055085	"transmembrane transport"	GO:0022857	"transmembrane transporter activity"	GO:0016021	"integral component of membrane"
Dcitr08g0222011	1					GO:0016021	"integral component of membrane"
Dcitr08g0490013	2	GO:0035556	"intracellular signal transduction"	GO:0005085	"guanyl-nucleotide exchange factor activity"		
Dcitr01g1306011	2	GO:0006508	"proteolysis"	GO:0008234	"cysteine-type peptidase activity"		
Dcitr01g1965011	2	GO:0005992	"trehalose biosynthetic process"	GO:0003824	"catalytic activity"		
Dcitr05g1395011	4	GO:0055085	"transmembrane transport"	GO:0022857	"transmembrane transporter activity"	GO:0016020;GO:0016021	"membrane";"integral component of membrane"
Dcitr10g0342012	4	GO:0006470	"protein dephosphorylation"	GO:0004722;GO:0003824;GO:0043169	"protein serine/threonine phosphatase activity";"catalytic activity";"cation binding"		
Dcitr00g0580011	2			GO:0005525;GO:0003924	"GTP binding";"GTPase activity"		
Dcitr00g0427011	3	GO:0015986	"ATP synthesis coupled proton transport"	GO:0015078	"proton transmembrane transporter activity"	GO:0000276	"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)"
Dcitr09g0622011	2	GO:0010506	"regulation of autophagy"			GO:0035658	"Mon1-Ccz1 complex"
Dcitr04g1657011	3	GO:0006457	"protein folding"	GO:0031072;GO:0051082	"heat shock protein binding";"unfolded protein binding"		
Dcitr02g0590011	1			GO:0008017	"microtubule binding"		
Dcitr03g0429011	3	GO:0006412	"translation"	GO:0003735	"structural constituent of ribosome"	GO:0005840	"ribosome"
Dcitr04g1394011	3	GO:0055085	"transmembrane transport"	GO:0022857	"transmembrane transporter activity"	GO:0016021	"integral component of membrane"
Dcitr10g0359011	1			GO:0003676	"nucleic acid binding"		
